FID,longitude,latitude,cell_num,cell_area,gpcp_cid,CID,BASIN,AREA,ntsctarea,area_frc
139,84.250000000000000,29.250000000000000,40466,2693.678955079999900,21685.000000000000000,490328,34,771.262591687000050,215.737787884000000,0.279720279720000
140,84.250000000000000,29.250000000000000,40466,2693.678955079999900,21685.000000000000000,491584,34,772.108908277999940,772.108908277999940,1.000000000000000
141,84.250000000000000,29.250000000000000,40466,2693.678955079999900,21685.000000000000000,491585,34,772.108908277999940,445.240502857000020,0.576655052265000
142,84.750000000000000,29.250000000000000,40467,2693.678955079999900,21685.000000000000000,490328,34,771.262591687000050,555.524803803000050,0.720279720280000
143,84.750000000000000,29.250000000000000,40467,2693.678955079999900,21685.000000000000000,490329,34,771.262591688000040,771.262591688000040,1.000000000000000
144,84.750000000000000,29.250000000000000,40467,2693.678955079999900,21685.000000000000000,490330,34,771.262591688000040,21.573778788599999,0.027972027972200
145,84.750000000000000,29.250000000000000,40467,2693.678955079999900,21685.000000000000000,491585,34,772.108908277999940,326.868405420999980,0.423344947735000
146,84.750000000000000,29.250000000000000,40467,2693.678955079999900,21685.000000000000000,491586,34,772.108908277999940,772.108908277999940,1.000000000000000
147,84.750000000000000,29.250000000000000,40467,2693.678955079999900,21685.000000000000000,491587,34,772.108908277999940,246.160157168000010,0.318815331009000
148,85.250000000000000,29.250000000000000,40468,2693.678955079999900,21686.000000000000000,490330,34,771.262591688000040,749.688812899000030,0.972027972027000
149,85.250000000000000,29.250000000000000,40468,2693.678955079999900,21686.000000000000000,490331,34,771.262591688000040,598.672361379999980,0.776223776224000
150,85.250000000000000,29.250000000000000,40468,2693.678955079999900,21686.000000000000000,491587,34,772.108908277999940,525.948751109000000,0.681184668989000
151,85.250000000000000,29.250000000000000,40468,2693.678955079999900,21686.000000000000000,491588,34,772.108908277999940,772.108908277999940,1.000000000000000
152,85.250000000000000,29.250000000000000,40468,2693.678955079999900,21686.000000000000000,491589,34,772.108908277999940,47.079811480200000,0.060975609755900
