FID,WGHM_BASIN,PAPA_BASIN,EAG_CNUM,WGHM_CNUM,EAG_AREA,INTCT_AREA,AREA_FRC
1313,21,21,464572,43442,771.248900624000040,771.248900624000040,1.000000000000000
1314,21,21,464573,43442,771.248900624000040,461.623429569999980,0.598540145985000
1315,21,21,465885,43442,769.768187964000050,530.971487317999960,0.689781021898000
1316,21,21,465886,43442,769.768187964000050,769.768187964000050,1.000000000000000
1317,21,21,465887,43442,769.768187964000050,101.137426156000000,0.131386861314000
1318,21,21,464573,43443,771.248900624000040,309.625471053000010,0.401459854014000
1319,21,21,464574,43443,771.248900624000040,771.248900623000050,0.999999999999000
1320,21,21,464575,43443,771.248900624000040,326.514133110999980,0.423357664234000
1321,21,21,465887,43443,769.768187964000050,668.630761807999990,0.868613138686000
1322,21,21,465888,43443,769.768187962999950,736.055712578000000,0.956204379562000
1323,21,21,461940,43726,771.341225595999960,309.384117957999990,0.401098901098000
1324,21,21,461938,43725,771.341225595999960,179.414534159000000,0.232600732601000
1325,21,21,461939,43725,771.341225595999960,771.341225594999970,0.999999999999000
1326,21,21,461940,43725,771.341225595999960,461.957107636999980,0.598901098901000
1327,21,21,463257,43725,769.894934640999960,540.054505435000010,0.701465201465000
1328,21,21,463258,43725,769.894934640999960,769.894934641999950,1.000000000000000
1329,21,21,459293,44005,771.354297155000040,51.045504958599999,0.066176470588000
1330,21,21,459294,44005,771.354297155000040,771.354297155000040,1.000000000000000
1331,21,21,459295,44005,771.354297155000040,595.530891185999960,0.772058823530000
1332,21,21,460617,44005,769.942303993000000,410.447184113999980,0.533088235294000
1333,21,21,460618,44005,769.942303993000000,769.942303993000000,1.000000000000000
1334,21,21,475010,42303,770.077989670999950,387.809059547000000,0.503597122303000
1335,21,21,475011,42303,770.077989670999950,770.077989670999950,1.000000000000000
1336,21,21,475012,42303,770.077989670999950,224.375241595000010,0.291366906475000
1337,21,21,476302,42303,771.222650770999960,161.707975162000000,0.209677419355000
1338,21,21,476303,42303,771.222650770999960,771.222650770999960,1.000000000000000
1339,21,21,476304,42303,771.222650770999960,449.188819893000020,0.582437275985000
1340,21,21,477590,42009,772.341010356999960,540.638707250000040,0.700000000000000
1341,21,21,477591,42009,772.341010356999960,769.582649606000020,0.996428571429000
1342,21,21,477592,42009,772.341010356999960,66.200658030699998,0.085714285714400
1343,21,21,478876,42009,770.680506869000060,308.272202746999990,0.399999999999000
1344,21,21,478877,42009,770.680506869000060,770.680506869000060,1.000000000000000
1345,21,21,478878,42009,770.680506869000060,294.510050838999970,0.382142857143000
1346,21,21,480158,41706,771.751853030000010,498.480289412999980,0.645907473310000
1347,21,21,480159,41706,771.751853030000010,771.751853030000010,1.000000000000000
1348,21,21,480160,41706,771.751853030000010,102.991795333000000,0.133451957295000
1349,21,21,481439,41706,770.056144762000030,264.449886013000030,0.343416370107000
1350,21,21,481440,41706,770.056144762000030,770.056144762000030,1.000000000000000
1351,21,21,481441,41706,770.056144762000030,332.960219177000000,0.432384341638000
1352,21,21,482719,41406,771.080165857000000,205.074512196000000,0.265957446808000
1353,21,21,482720,41406,771.080165857000000,771.080165857000000,1.000000000000000
1354,21,21,482721,41406,771.080165857000000,391.008736586999990,0.507092198581000
1355,21,21,483995,41406,772.077339630999970,746.159549078000050,0.966431095406000
1356,21,21,483996,41406,772.077339630999970,617.934690553000000,0.800353356891000
1357,21,21,485266,41090,770.325539557999950,770.325539557999950,1.000000000000000
1358,21,21,485267,41090,770.325539557999950,257.228846248000020,0.333922261484000
1359,21,21,486534,41090,771.274876650000010,97.767237885399993,0.126760563381000
1360,21,21,486536,41090,771.274876650000010,488.836189425999980,0.633802816901000
1361,21,21,485263,41089,770.325539557999950,148.348911328000010,0.192579505300000
1362,21,21,486533,41089,771.274876650000010,684.370665196000000,0.887323943661000
1363,21,21,486534,41089,771.274876650000010,673.507638765000020,0.873239436620000
1364,21,21,487802,40776,772.197035493000040,719.362501486000040,0.931578947369000
1365,21,21,489064,40776,770.388771324999990,398.709978142000010,0.517543859649000
1366,21,21,490325,40465,771.262591687000050,771.262591687000050,1.000000000000000
1367,21,21,491582,40465,772.108908277999940,703.506897264000030,0.911149825784000
1368,21,21,485267,41091,770.325539557999950,513.096693309999980,0.666077738516000
1369,21,21,485268,41091,770.325539557999950,770.325539557999950,1.000000000000000
1370,21,21,486536,41091,771.274876650000010,282.438687223999980,0.366197183099000
1371,21,21,486537,41091,771.274876650000010,771.274876650000010,1.000000000000000
1372,21,21,487802,40777,772.197035493000040,52.834534007400002,0.068421052631600
1373,21,21,487804,40777,772.197035493000040,532.409534998000030,0.689473684211000
1374,21,21,482721,41407,771.080165857000000,380.071429270000010,0.492907801419000
1375,21,21,482722,41407,771.080165857000000,771.080165857000000,1.000000000000000
1376,21,21,482723,41407,771.080165857000000,213.277492684000010,0.276595744681000
1377,21,21,483996,41407,772.077339630999970,154.142649078000010,0.199646643109000
1378,21,21,483997,41407,772.077339630999970,769.349151151999990,0.996466431096000
1379,21,21,483998,41407,772.077339630999970,437.874250921999990,0.567137809188000
1380,21,21,486540,41092,771.274876650000010,116.777534141000000,0.151408450705000
1381,21,21,487804,40778,772.197035493000040,239.787500494999990,0.310526315789000
1382,21,21,489068,40778,770.388771324999990,770.388771324000000,0.999999999999000
1383,21,21,485272,41093,770.325539557999950,480.432712833999970,0.623674911661000
1384,21,21,486540,41093,771.274876650000010,654.497342508999960,0.848591549295000
1385,21,34,489071,40779,770.388771324999990,374.381911678999980,0.485964912281000
1386,21,21,467203,43164,771.076863331000030,85.519433933100004,0.110909090909000
1387,21,21,467204,43164,771.076863331000030,771.076863331000030,1.000000000000000
1388,21,21,467205,43164,771.076863331000030,545.361636064999970,0.707272727273000
1389,21,21,468512,43164,772.360013912000000,635.238127383999990,0.822463768116000
1390,21,21,468513,43164,772.360013912000000,761.166390522000030,0.985507246377000
1391,21,21,472421,42599,770.491849803000040,557.702584423999950,0.723826714801000
1392,21,21,472422,42599,770.491849803000040,770.491849803000040,1.000000000000000
1393,21,21,472423,42599,770.491849803000040,59.803519027900002,0.077617328519700
1394,21,21,473718,42599,771.682996982999950,152.671096525000000,0.197841726618000
1395,21,21,473719,42599,771.682996982999950,768.907158864000050,0.996402877697000
1396,21,21,473720,42599,771.682996982999950,463.564965813000010,0.600719424460000
1397,21,21,475012,42304,770.077989670999950,545.702748076000030,0.708633093525000
1398,21,21,475013,42304,770.077989670999950,770.077989670999950,1.000000000000000
1399,21,21,475014,42304,770.077989670999950,66.481553065100002,0.086330935251800
1400,21,21,476304,42304,771.222650770999960,322.033830877000010,0.417562724014000
1401,21,21,476305,42304,771.222650770999960,771.222650770999960,1.000000000000000
1402,21,21,476306,42304,771.222650770999960,288.862964178000030,0.374551971327000
1403,21,21,477592,42010,772.341010356999960,703.381991575000030,0.910714285714000
1404,21,21,477593,42010,772.341010356999960,675.798384061999970,0.875000000000000
1405,21,21,478878,42010,770.680506869000060,476.170456028999980,0.617857142856000
1406,21,21,478879,42010,770.680506867999950,770.680506869000060,1.000000000000000
1407,21,21,478880,42010,770.680506869000060,129.364227938999990,0.167857142857000
1408,21,21,480160,41707,771.751853030000010,668.760057696999980,0.866548042705000
1409,21,21,480161,41707,771.751853030000010,704.463880078999980,0.912811387900000
1410,21,21,481441,41707,770.056144762000030,437.095925586000020,0.567615658364000
1411,21,21,481442,41707,770.056144762000030,770.056144762000030,1.000000000000000
1412,21,21,481443,41707,770.056144762000030,160.314179604000000,0.208185053381000
1413,21,21,480161,41708,771.751853030000010,67.287972950899999,0.087188612099500
1414,21,21,480162,41708,771.751853030000010,769.005405153999960,0.996441281138000
1415,21,21,480163,41708,771.751853030000010,534.184111795000040,0.692170818506000
1416,21,21,481443,41708,770.056144762000030,609.741965158999960,0.791814946620000
1417,21,21,481444,41708,770.056144762000030,760.464698119999980,0.987544483987000
1418,21,21,467205,43165,771.076863331000030,225.715227266000000,0.292727272727000
1419,21,21,467206,43165,771.076863331000030,771.076863331000030,1.000000000000000
1420,21,21,467207,43165,771.076863331000030,402.361926864999990,0.521818181818000
1421,21,21,468513,43165,772.360013912000000,8.395217542450000,0.010869565217300
1422,21,21,468514,43165,772.360013912000000,772.360013912000000,1.000000000000000
1423,21,21,468515,43165,772.360013912000000,618.447692298999980,0.800724637681000
1424,21,21,467207,43166,771.076863331000030,368.714936464999990,0.478181818181000
1425,21,21,467208,43166,771.076863331000030,771.076863331000030,1.000000000000000
1426,21,21,467209,43166,771.076863331000030,262.166133532999990,0.340000000001000
1427,21,21,468515,43166,772.360013912000000,151.113915765000000,0.195652173913000
1428,21,21,468516,43166,772.360013912000000,769.561608063999980,0.996376811594000
1429,21,21,468517,43166,772.360013912000000,475.728994075999990,0.615942028985000
1430,21,21,472424,42601,770.491849803000040,90.400668298200003,0.117328519856000
1431,21,21,472425,42601,770.491849803000040,770.491849803000040,1.000000000000000
1432,21,21,472426,42601,770.491849803000040,527.105435154000020,0.684115523466000
1433,21,21,473722,42601,771.682996982999950,463.564965813000010,0.600719424460000
1434,21,21,473723,42601,771.682996982999950,768.907158864000050,0.996402877697000
1435,21,21,473724,42601,771.682996982999950,152.671096525000000,0.197841726618000
1436,21,21,472423,42600,770.491849803000040,710.688330775000050,0.922382671480000
1437,21,21,472424,42600,770.491849803000040,680.091181505000010,0.882671480145000
1438,21,21,473720,42600,771.682996982999950,308.118031169000010,0.399280575539000
1439,21,21,473721,42600,771.682996982999950,771.682996982999950,1.000000000000000
1440,21,21,473722,42600,771.682996982999950,308.118031169000010,0.399280575539000
1441,21,21,475014,42305,770.077989670999950,703.596436606000000,0.913669064748000
1442,21,21,475015,42305,770.077989670999950,681.435918917999970,0.884892086332000
1443,21,21,476306,42305,771.222650770999960,482.359686592999990,0.625448028673000
1444,21,21,476307,42305,771.222650770999960,771.222650770999960,1.000000000000000
1445,21,21,476308,42305,771.222650770999960,128.537108461999990,0.166666666667000
1446,21,21,477593,42011,772.341010356999960,96.542626294599998,0.125000000000000
1447,21,21,477594,42011,772.341010356999960,772.341010356999960,1.000000000000000
1448,21,21,477595,42011,772.341010356999960,510.296738985999980,0.660714285714000
1449,21,21,478880,42011,770.680506869000060,641.316278929999950,0.832142857143000
1450,21,21,478881,42011,770.680506869000060,732.146481525000010,0.949999999999000
1451,21,21,480163,41709,771.751853030000010,234.821293359000010,0.304270462633000
1452,21,21,480164,41709,771.751853030000010,771.751853030000010,1.000000000000000
1453,21,21,480165,41709,771.751853030000010,366.650791385999980,0.475088967971000
1454,21,21,481444,41709,770.056144762000030,9.591446642779999,0.012455516014000
1455,21,21,481445,41709,770.056144762000030,770.056144762000030,1.000000000000000
1456,21,21,481446,41709,770.056144762000030,587.818658547000040,0.763345195731000
1457,21,21,482723,41408,771.080165857000000,557.802673173000020,0.723404255319000
1458,21,21,482724,41408,771.080165857000000,771.080165857000000,1.000000000000000
1459,21,21,482725,41408,771.080165857000000,38.280575609899998,0.049645390070900
1460,21,21,483998,41408,772.077339630999970,331.474900230999990,0.429328621909000
1461,21,21,477595,42012,772.341010356999960,259.285910619999980,0.335714285714000
1462,21,21,477596,42012,772.341010356999960,769.582649606000020,0.996428571429000
1463,21,21,477597,42012,772.341010356999960,347.553454660999990,0.450000000000000
1464,21,21,478881,42012,770.680506869000060,38.534025343400003,0.049999999999900
1465,21,21,478882,42012,770.680506869000060,770.680506869000060,1.000000000000000
1466,21,21,478883,42012,770.680506869000060,564.248228242999970,0.732142857142000
1467,21,21,480165,41710,771.751853030000010,405.101061644000030,0.524911032029000
1468,21,21,480166,41710,771.751853030000010,771.751853030000010,1.000000000000000
1469,21,21,480167,41710,771.751853030000010,196.371023102000010,0.254448398577000
1470,21,21,481446,41710,770.056144762000030,182.237486216000010,0.236654804271000
1471,21,21,481447,41710,770.056144762000030,770.056144762000030,1.000000000000000
1472,21,21,481448,41710,770.056144762000030,415.172618973000000,0.539145907473000
1473,21,21,475015,42306,770.077989670999950,88.642070753599995,0.115107913669000
1474,21,21,475016,42306,770.077989670999950,770.077989670999950,1.000000000000000
1475,21,21,475017,42306,770.077989670999950,523.542230388000010,0.679856115108000
1476,21,21,476308,42306,771.222650770999960,642.685542308999970,0.833333333333000
1477,21,21,476309,42306,771.222650770999960,739.433903516999980,0.958781362007000
1478,21,21,477597,42013,772.341010356999960,424.787555696000030,0.550000000000000
1479,21,21,477598,42013,772.341010356999960,769.582649605000030,0.996428571428000
1480,21,21,477599,42013,772.341010356999960,182.051809584000010,0.235714285714000
1481,21,21,478883,42013,770.680506869000060,206.432278626000000,0.267857142858000
1482,21,21,478884,42013,770.680506869000060,770.680506869000060,1.000000000000000
1483,21,21,478885,42013,770.680506867999950,399.102405342999990,0.517857142858000
1484,21,21,475017,42307,770.077989670999950,246.535759283000000,0.320143884892000
1485,21,21,475018,42307,770.077989670999950,770.077989670999950,1.000000000000000
1486,21,21,475019,42307,770.077989670999950,365.648541857999990,0.474820143885000
1487,21,21,476309,42307,771.222650770999960,31.788747254000000,0.041218637992800
1488,21,21,476310,42307,771.222650770999960,771.222650770999960,1.000000000000000
1489,21,21,476311,42307,771.222650770999960,579.108047801000000,0.750896057347000
1490,21,21,477599,42014,772.341010356999960,587.530840021000020,0.760714285714000
1491,21,21,477600,42014,772.341010356999960,772.341010356999960,1.000000000000000
1492,21,21,477601,42014,772.341010356999960,19.308525258900001,0.025000000000000
1493,21,21,478885,42014,770.680506867999950,371.578101526000010,0.482142857143000
1494,21,21,478886,42014,770.680506869000060,770.680506869000060,1.000000000000000
1495,21,21,478887,42014,770.680506869000060,231.204152061000000,0.300000000000000
1496,21,21,477601,42015,772.341010356999960,753.032485098000050,0.975000000000000
1497,21,21,477602,42015,772.341010356999960,626.147890538999950,0.810714285714000
1498,21,21,478887,42015,770.680506869000060,539.476354808000000,0.700000000000000
1499,21,21,478888,42015,770.680506869000060,770.680506869000060,1.000000000000000
1500,21,34,478889,42015,770.680506869000060,63.305898778299998,0.082142857142600
1501,21,21,480169,41712,771.751853030000010,742.914150337000020,0.962633451958000
1502,21,21,480170,41712,771.751853030000010,630.309787439000050,0.816725978648000
1503,21,21,481450,41712,770.056144762000030,527.529565361999970,0.685053380783000
1504,21,21,481452,41712,770.056144762000030,69.880539827199996,0.090747330960900
1505,21,21,480167,41711,771.751853030000010,572.634382051999980,0.741992882562000
1506,21,21,480168,41711,771.751853030000010,769.005405153999960,0.996441281138000
1507,21,21,480169,41711,771.751853030000010,28.837702693200001,0.037366548042600
1508,21,21,481448,41711,770.056144762000030,354.883525788999980,0.460854092527000
1509,21,21,481449,41711,770.056144762000030,770.056144762000030,1.000000000000000
1510,21,21,481450,41711,770.056144762000030,242.526579400000000,0.314946619217000
1511,21,21,482725,41409,771.080165857000000,732.799590246999970,0.950354609929000
1512,21,21,484001,41409,772.077339630999970,772.077339630999970,1.000000000000000
1513,21,21,485272,41094,770.325539557999950,289.892826723999970,0.376325088339000
1514,21,34,485273,41094,770.325539557999950,770.325539557999950,1.000000000000000
