2999500 77.75 66.75 -99 -99 -99
2999501 78.25 65.75 -99 -99 -99
2999510 77.25 64.75 -99 -99 -99
2999850 102.25 71.75 -99 -99 -99
2999900 123.25 71.25 -99 -99 -99
2999910 123.75 71.75 -99 -99 -99
2999920 118.25 68.75 -99 -99 -99
2999922 112.75 68.25 -99 -99 -99
3103150 -75.75 5.25 -99 -99 -99
3103300 -74.75 10.25 -99 -99 -99
3103500 -74.75 6.25 -99 -99 -99
3142500 -77.25 1.75 -99 -99 -99
3178800 -71.25 -30.75 -99 -99 -99
3179200 -71.25 -33.75 -99 -99 -99
3179250 -71.25 -34.25 -99 -99 -99
3179500 -72.75 -37.25 -99 -99 -99
3206610 -64.25 5.25 -99 -99 -99
3206720 -63.75 8.25 -99 -99 -99
3264500 -55.75 -27.25 -99 -99 -99
3265005 -65.75 -26.25 -99 -99 -99
3265100 -63.75 -25.75 -99 -99 -99
3265300 -58.75 -27.75 -99 -99 -99
3265601 -60.75 -32.75 -99 -99 -99
3265910 -58.25 -28.75 -99 -99 -99
3268150 -64.25 -23.25 -99 -99 -99
3268270 -64.25 -23.75 -99 -99 -99
3268500 -62.75 -22.25 -99 -99 -99
3268900 -59.75 -25.75 -99 -99 -99
3269300 -57.75 -29.25 -99 -99 -99
3274030 -67.75 -27.75 -99 -99 -99
3274150 -65.25 -27.75 -99 -99 -99
3275050 -69.25 -30.25 -99 -99 -99
3275100 -68.75 -31.25 -99 -99 -99
3275220 -69.25 -32.75 -99 -99 -99
3275700 -69.75 -36.75 -99 -99 -99
3275750 -65.25 -38.75 -99 -99 -99
3275800 -69.75 -38.25 -99 -99 -99
3275900 -70.75 -40.75 -99 -99 -99
3275990 -64.25 -40.25 -99 -99 -99
3276200 -69.25 -43.25 -99 -99 -99
3276320 -69.75 -45.25 -99 -99 -99
3276800 -72.25 -50.25 -99 -99 -99
3308300 -60.75 5.75 -99 -99 -99
3308400 -59.25 6.75 -99 -99 -99
3308600 -58.75 5.25 -99 -99 -99
3411300 -56.25 4.75 -99 -99 -99
3469050 -57.75 -31.25 -99 -99 -99
3469100 -57.25 -33.25 -99 -99 -99
3469150 -56.25 -33.25 -99 -99 -99
3469200 -55.25 -32.25 -99 -99 -99
3512400 -54.25 4.75 -99 -99 -99
3514800 -52.25 3.75 -99 -99 -99
3618053 -67.25 0.75 -99 -99 -99
3618090 -66.75 1.75 -99 -99 -99
3618110 -67.75 1.25 -99 -99 -99
3618500 -60.75 2.25 -99 -99 -99
3618720 -60.75 3.25 -99 -99 -99
3618950 -69.25 0.75 -99 -99 -99
3621200 -66.75 -1.75 -99 -99 -99
3621400 -69.75 -1.25 -99 -99 -99
3622400 -71.25 -4.25 -99 -99 -99
3622401 -72.75 -5.25 -99 -99 -99
3622450 -71.75 -4.75 -99 -99 -99
3622800 -70.25 -5.25 -99 -99 -99
3622801 -70.75 -5.25 -99 -99 -99
3623100 -69.25 -3.25 -99 -99 -99
3624120 -67.25 -5.25 -99 -99 -99
3624122 -70.25 -6.75 -99 -99 -99
3624160 -72.75 -7.75 -99 -99 -99
3624180 -72.75 -9.25 -99 -99 -99
3624200 -67.75 -4.25 -99 -99 -99
3624300 -70.25 -7.25 -99 -99 -99
3625150 -67.75 -9.75 -99 -99 -99
3625310 -62.25 -4.75 -99 -99 -99
3625340 -64.75 -7.25 -99 -99 -99
3625360 -67.25 -8.75 -99 -99 -99
3625370 -68.25 -9.25 -99 -99 -99
3625380 -69.75 -9.25 -99 -99 -99
3627030 -61.25 -5.75 -99 -99 -99
3627040 -64.25 -9.25 -99 -99 -99
3627041 -65.25 -10.25 -99 -99 -99
3627060 -65.75 -9.75 -99 -99 -99
3627110 -65.25 -10.75 -99 -99 -99
3627402 -61.75 -9.25 -99 -99 -99
3627408 -61.75 -11.25 -99 -99 -99
3627650 -60.75 -7.75 -99 -99 -99
3627701 -58.75 -7.25 -99 -99 -99
3627810 -62.75 -13.25 -99 -99 -99
3628100 -56.25 -0.75 -99 -99 -99
3628200 -56.75 -1.25 -99 -99 -99
3628500 -57.25 -1.25 -99 -99 -99
3629000 -55.75 -1.75 -99 -99 -99
3629100 -54.75 -1.75 -99 -99 -99
3629150 -57.75 -6.25 -99 -99 -99
3629180 -58.25 -7.25 -99 -99 -99
3629380 -58.75 -11.75 -99 -99 -99
3629771 -56.25 -9.75 -99 -99 -99
3629772 -55.75 -10.25 -99 -99 -99
3629773 -55.75 -11.75 -99 -99 -99
3629790 -57.75 -8.25 -99 -99 -99
3629900 -58.25 -11.75 -99 -99 -99
3629910 -57.25 -11.75 -99 -99 -99
3630010 -51.75 -3.75 -99 -99 -99
